system_code,location_code,location_name,system_code2,Managed_By_Name,Location_Type_Description,Location_Category_Description,Grades_Text,Grades_Final_Text,Open_Date,Status_Descriptions,Primary_Building_Code,Primary_Address_Line_1,City,State_Code,Zip,Borough_Block_Lot,Census_Tract,Community_District,Council_District,NTA,NTA_Name,Principal_Name,Principal_Title,Principal_Email,Principal_Phone_Number,Fax_Number,Geographical_District_Code,Administrative_District_Code,Superintendent_District_Name,Superintendent,Superintendent_Email,Superintendent_Location,tier_3_support_location_code,tier_2_support_location_code,longitude,latitude,Column3
01M015,M015,P.S. 015 Roberto Clemente,310100010015,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul  1 1904,Open,M015,333 EAST  4 STREET,MANHATTAN,NY,10009,1003740020,2601,103,2,MN28,Lower East Side,IRENE SANCHEZ,Principal,ISanchez11@schools.nyc.gov,212-228-8730,212-477-0931,01,01,COMMUNITY SCHOOL DISTRICT 01,"CHAN, CARRY",CChan2@schools.nyc.gov,M801,MFSC,MR03,-73.978747,40.722075,
01M020,M020,P.S. 020 Anna Silver,310100010020,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul  1 1963,Open,M020,166 ESSEX STREET,MANHATTAN,NY,10002,1003550001,3001,103,1,MN27,Chinatown,SARAH PINTO,Principal,SPinto4@schools.nyc.gov,212-254-9577,212-254-3526,01,01,COMMUNITY SCHOOL DISTRICT 01,"CHAN, CARRY",CChan2@schools.nyc.gov,M801,MFSC,MR03,-73.986312,40.721305,
01M034,M034,P.S. 034 Franklin D. Roosevelt,310100010034,DOE,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08",Jul  1 1955,Open,M034,730 East  12 Street,Manhattan,NY,10009,1003810038,2800,103,2,MN28,Lower East Side,ERICK SANCHEZ,I.A. Principal,ESanchez23@schools.nyc.gov,212-228-4433,212-353-1973,01,01,COMMUNITY SCHOOL DISTRICT 01,"CHAN, CARRY",CChan2@schools.nyc.gov,M801,MFSC,MR03,-73.975058,40.726008,
01M063,M063,The STAR Academy - P.S.63,310100010063,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul  1 1905,Open,M063,121 EAST  3 STREET,MANHATTAN,NY,10009,1004310014,3200,103,2,MN22,East Village,David Gonzalez,Principal,DGonzalez10@schools.nyc.gov,212-674-3180,212-420-9018,01,01,COMMUNITY SCHOOL DISTRICT 01,"CHAN, CARRY",CChan2@schools.nyc.gov,M801,MFSC,MR03,-73.986214,40.72444,
01M064,M064,P.S. 064 Robert Simon,310100010064,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul  1 1954,Open,M064,600 EAST  6 STREET,MANHATTAN,NY,10009,1003870001,2601,103,2,MN28,Lower East Side,Kara Levin,Principal,klevin4@schools.nyc.gov,212-673-6510,212-477-2369,01,01,COMMUNITY SCHOOL DISTRICT 01,"CHAN, CARRY",CChan2@schools.nyc.gov,M801,MFSC,MR03,-73.981597,40.72313,
01M110,M110,P.S. 110 Florence Nightingale,310100010110,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul  1 1902,Open,M110,285 Delancy Street,Manhattan,NY,10002,1003310140,1200,103,1,MN28,Lower East Side,KAREN FEUER,Principal,KFeuer@schools.nyc.gov,212-674-2690,212-475-5835,01,01,COMMUNITY SCHOOL DISTRICT 01,"CHAN, CARRY",CChan2@schools.nyc.gov,M801,MFSC,MR03,-73.9798,40.7162,
01M134,M134,P.S. 134 Henrietta Szold,310100010134,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul  1 1960,Open,M134,293 EAST BROADWAY,MANHATTAN,NY,10002,1002880001,202,103,1,MN28,Lower East Side,Robert Perales,Principal,RPerales2@schools.nyc.gov,212-673-4470,212-475-6142,01,01,COMMUNITY SCHOOL DISTRICT 01,"CHAN, CARRY",CChan2@schools.nyc.gov,M801,MFSC,MR03,-73.983854,40.714248,
01M140,M140,P.S. 140 Nathan Straus,310100010140,DOE,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08",Jul  1 1959,Open,M140,123 RIDGE STREET,MANHATTAN,NY,10002,1003440001,2201,103,1,MN28,Lower East Side,MELISSA RODRIGUEZ,Principal,MRodrig19@schools.nyc.gov,212-677-4680,212-677-3907,01,01,COMMUNITY SCHOOL DISTRICT 01,"CHAN, CARRY",CChan2@schools.nyc.gov,M801,MFSC,MR03,-73.983769,40.719148,
01M142,M142,P.S. 142 Amalia Castro,310100010142,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul  1 1976,Open,M142,100 ATTORNEY STREET,MANHATTAN,NY,10002,1003430001,1402,103,1,MN28,Lower East Side,Kimberley Mascoe,I.A. Principal,KMascoe2@schools.nyc.gov,212-598-3800,212-598-3810,01,01,COMMUNITY SCHOOL DISTRICT 01,"CHAN, CARRY",CChan2@schools.nyc.gov,M801,MFSC,MR03,-73.984116,40.718121,
01M184,M184,P.S. 184m Shuang Wen,310100010184,DOE,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08",Jun 22 1999,Open,M137,327 CHERRY STREET,MANHATTAN,NY,10002,1002450007,201,103,1,MN28,Lower East Side,Jeremy Kabinoff,Principal,JKabino@schools.nyc.gov,212-602-9700,212-602-9710,01,01,COMMUNITY SCHOOL DISTRICT 01,"CHAN, CARRY",CChan2@schools.nyc.gov,M801,MFSC,MR03,-73.985438,40.711125,
